字段,值
需求名称,客户交易行为分析
需求标识,option_d
表名,ads_customer_churn_warning
中文表名,客户流失预警表
层级,ADS
创建日期,2026-06-11

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,b.stat_date
warning_id,VARCHAR(50),预警ID,是,否,,CONCAT('CHURN_', stat_date, '_', customer_id)
customer_id,VARCHAR(50),客户ID,否,否,,b.customer_id
customer_name,VARCHAR(100),客户姓名,否,是,,b.customer_name
city,VARCHAR(50),城市,否,是,,b.city
branch,VARCHAR(100),网点,否,是,,b.branch
last_transaction_date,VARCHAR(20),最后交易日期,否,是,,b.last_transaction_date
days_inactive,INT,未交易天数,否,否,,b.days_inactive
total_transaction_count,INT,历史交易笔数,否,否,,b.total_transaction_count
total_purchase_amount,DECIMAL(18;2),历史申购总额,否,是,,b.total_purchase_amount
avg_transaction_amount,DECIMAL(18;2),平均交易金额,否,是,,b.avg_transaction_amount
asset_trend,VARCHAR(20),资产趋势,否,是,,b.asset_trend
churn_risk_level,VARCHAR(20),流失风险等级,否,否,,b.churn_risk_level
churn_risk_score,DECIMAL(5;2),流失风险评分,否,否,,根据风险等级和资产趋势计算(40-90)
warning_reason,TEXT,预警原因,否,否,,CONCAT预警消息文本
dm_src_info,VARCHAR(100),数据来源表,否,否,,'dws_customer_behavior_profile'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,dws_customer_behavior_profile
关联条件,无
过滤条件,"churn_risk_level IN ('high', 'medium', 'low') AND days_inactive > 30"
聚合粒度,stat_date + warning_id
更新策略,"全量刷新，日频"
ETL脚本,etl/etl_ads_customer_churn_warning.sql
